Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
BUENOS AIRES;La Plata;Arana;0;--;--;--;--;--;SI;--;--;--;6441030.0;-35,0300556104917;-57,8865250010855
BUENOS AIRES;La Plata;Arturo Segui;0;--;SI;--;--;--;--;SI;SI;SI;6441030.0;-34,8907397135389;-58,132711650613
BUENOS AIRES;La Plata;Barrio El Carmen Oeste;0;--;--;--;--;--;SI;--;--;--;6441030.0;-34,9707544223488;-57,8108950283044
BUENOS AIRES;La Plata;Barrio El Peligro;0;SI;--;--;--;--;--;SI;SI;SI;6441030.0;-34,933333;-58,166667
BUENOS AIRES;La Plata;Barrio Gambier;0;--;--;--;--;--;SI;--;SI;SI;6441030.0;-34,9359594527479;-57,9837630521994
BUENOS AIRES;La Plata;Barrio Las Malvinas;0;--;--;--;--;--;--;--;SI;SI;6441030.0;-34,9374880163466;-58,0093954169858
BUENOS AIRES;La Plata;Barrio Las Quintas;0;--;--;--;--;--;--;--;--;SI;6441030.0;-34,9257210987549;-58,0393403036748
BUENOS AIRES;La Plata;City Bell;0;--;SI;--;SI;--;SI;SI;SI;SI;6441030.0;-34,8879382744371;-58,0582328038691
BUENOS AIRES;La Plata;El Retiro;0;--;--;--;SI;--;--;--;SI;SI;6441030.0;-34,9476175562489;-57,9957432212034
BUENOS AIRES;La Plata;Esquina Negra;0;--;--;--;--;--;--;--;SI;SI;6441030.0;-35,038806066743;-58,0593061620077
BUENOS AIRES;La Plata;Joaquin Gorina;0;--;SI;--;SI;--;--;SI;SI;SI;6441030.0;-34,9017817335757;-58,039185928571
BUENOS AIRES;La Plata;Jose Hernandez;0;--;SI;--;SI;--;--;--;SI;SI;6441030.0;-34,8985896635727;-58,0143972026636
BUENOS AIRES;La Plata;Jose Melchor Romero;0;--;SI;--;--;--;--;--;SI;SI;6441030.0;-34,9455092438623;-58,0362904746611
BUENOS AIRES;La Plata;La Cumbre;0;--;--;--;--;--;SI;--;SI;SI;6441030.0;-34,9235917717359;-58,0019478733944
BUENOS AIRES;La Plata;La Providencia;0;--;--;--;--;--;--;--;--;--;6441030.0;-35,0232476;-58,2307028
BUENOS AIRES;La Plata;Lisandro Olmos;0;--;SI;--;--;--;--;--;SI;SI;6441030.0;-34,9976086009747;-58,043377425691
BUENOS AIRES;La Plata;Los Hornos;0;--;SI;--;SI;--;SI;--;SI;SI;6441030.0;-34,973715513981;-57,9850539062724
BUENOS AIRES;La Plata;Manuel B Gonnet;0;--;SI;--;SI;--;--;SI;SI;SI;6441030.0;-34,8819511933447;-58,0189915342036
BUENOS AIRES;La Plata;Poblet;0;--;--;--;--;--;--;--;--;--;6441030.0;-35,0604581;-57,9547426
BUENOS AIRES;La Plata;Ringuelet;0;--;SI;--;SI;--;--;SI;SI;SI;6441030.0;-34,8910544941568;-57,9913781921596
BUENOS AIRES;La Plata;Rufino De Elizalde;0;--;--;--;--;--;--;--;SI;SI;6441030.0;-34,9710900774179;-57,9524351288235
BUENOS AIRES;La Plata;Tolosa;0;--;SI;--;SI;--;--;SI;SI;SI;6441030.0;-34,9007699307169;-57,9821293495972
BUENOS AIRES;La Plata;Transradio;0;--;--;--;--;SI;--;--;SI;SI;6441030.0;-34,8790055541958;-58,081733864461
BUENOS AIRES;La Plata;Villa Elisa;0;--;SI;--;SI;--;SI;SI;SI;SI;6441030.0;-34,8776205187118;-58,0907139194439
BUENOS AIRES;La Plata;Villa Elvira;0;--;SI;--;SI;--;SI;--;SI;SI;6441030.0;-34,9406437624757;-57,9214984675578
BUENOS AIRES;La Plata;Villa Garibaldi;0;--;--;--;--;--;SI;--;--;--;6441030.0;-34,9986517196678;-57,8404966243711
BUENOS AIRES;La Plata;Villa Montoro;0;--;--;--;--;--;SI;--;SI;SI;6441030.0;-34,9634490535296;-57,9025001308298
BUENOS AIRES;Pilar;Roberto De Vicenzo;0;--;--;--;--;--;--;--;SI;SI;6638040.0;-34,4369652784326;-58,7669941785147
BUENOS AIRES;Pinamar;Carilo;0;--;SI;--;--;--;--;--;SI;SI;6644010.0;-37,1641593745618;-56,9027914378095
BUENOS AIRES;Pinamar;Ostende;0;--;SI;--;--;--;--;--;SI;SI;6644010.0;-37,1300477581888;-56,8833984697828
BUENOS AIRES;Pinamar;Valeria Del Mar;0;--;SI;--;--;--;--;--;SI;SI;6644010.0;-37,1445557771803;-56,890291998877
BUENOS AIRES;Presidente Perón;Barrio America Unida;0;--;--;--;--;--;--;--;SI;SI;6648010.0;-34,886197581853;-58,41733483734
